car_name,manufacture,ownership,transmission,fuel_type,engine,kms_driven,Seats,car_prices
Honda,2004,1st Ownership,Automatic,Premium,4 cyl,207966, 5 Seats,8990
Ford,2017,1st Ownership,Manual,Diesel,5 cyl,108767, 2 Seats,29999
Volkswagen,2015,1st Ownership,Automatic,Premium,4 cyl,39578, 5 Seats,16420
Mazda,2015,1st Ownership,Automatic,Unleaded,4 cyl,105633, 5 Seats,16990
Nissan,2002,1st Ownership,Automatic,Unleaded,4 cyl,169981, 5 Seats,7880
Toyota,2017,1st Ownership,Automatic,Petrol,-,91702,,38999
Hyundai,2015,1st Ownership,Automatic,Unleaded,4 cyl,138263, 4 Seats,21995
Toyota,2006,1st Ownership,Automatic,Unleaded,4 cyl,238016, 5 Seats,5999
Mercedes-Benz,2013,1st Ownership,Automatic,Unleaded,-,44441,,18990
Audi,2014,1st Ownership,Automatic,Diesel,4 cyl,73021, 5 Seats,27995
Holden,2010,1st Ownership,Automatic,Diesel,4 cyl,106831, 5 Seats,8995
Hyundai,2012,1st Ownership,Automatic,Unleaded,4 cyl,209552, 5 Seats,7995
Mitsubishi,2021,1st Ownership,Automatic,Unleaded,4 cyl,51311, 5 Seats,30888
Toyota,2022,1st Ownership,Automatic,Hybrid,3 cyl,17984, 5 Seats,39990
Jeep,2014,1st Ownership,Automatic,Diesel,6 cyl,137763, 5 Seats,24990
Honda,2022,1st Ownership,Automatic,Unleaded,4 cyl,21532, 5 Seats,39990
Land,2015,1st Ownership,Automatic,Diesel,6 cyl,139968, 7 Seats,54990
MG,2022,0st Ownership,Automatic,Unleaded,4 cyl,15, 5 Seats,23690
Mitsubishi,2015,1st Ownership,Manual,Diesel,4 cyl,154276, 5 Seats,28990
Mercedes-Benz,2009,1st Ownership,Automatic,Premium,8 cyl,98170, 5 Seats,34990
Toyota,2023,1st Ownership,Automatic,Diesel,-,90,,79800
Kia,2013,1st Ownership,Manual,Unleaded,4 cyl,131990, 5 Seats,11490
Toyota,2019,1st Ownership,Automatic,Unleaded,4 cyl,173605, 5 Seats,18995
Toyota,2017,1st Ownership,Automatic,Diesel,4 cyl,160331, 2 Seats,34995
Holden,2010,1st Ownership,Automatic,Unleaded,6 cyl,203500, 5 Seats,7995
Toyota,2018,1st Ownership,Automatic,Diesel,4 cyl,37726, 5 Seats,49913
Mazda,2018,1st Ownership,Automatic,Unleaded,4 cyl,50304, 5 Seats,23400
BMW,2018,1st Ownership,Automatic,Premium,6 cyl,59223, 5 Seats,44990
Hyundai,2013,1st Ownership,Automatic,Unleaded,4 cyl,103629, 5 Seats,12995
Holden,2013,1st Ownership,Automatic,Unleaded,-,224899,,15800
Jeep,2015,1st Ownership,Automatic,Diesel,6 cyl,92805, 5 Seats,23913
Mercedes-Benz,2005,1st Ownership,Automatic,Unleaded,4 cyl,98800, 5 Seats,9888
Holden,2009,1st Ownership,Automatic,Unleaded,6 cyl,127994, 5 Seats,13990
Subaru,2015,1st Ownership,Automatic,Unleaded,4 cyl,171352, 5 Seats,15999
Mazda,2015,1st Ownership,Automatic,Diesel,5 cyl,31931, 5 Seats,38800
Suzuki,2011,1st Ownership,Automatic,Unleaded,4 cyl,158817, 5 Seats,11800
Volkswagen,2016,1st Ownership,Manual,Premium,4 cyl,89757, 5 Seats,16990
Mitsubishi,2017,1st Ownership,Automatic,Petrol,-,151105,,36999
Mercedes-Benz,2011,1st Ownership,Automatic,Premium,4 cyl,120209, 5 Seats,18990
Holden,2011,1st Ownership,Automatic,Unleaded,6 cyl,174239, 5 Seats,13800
Toyota,2004,1st Ownership,Automatic,Unleaded,4 cyl,95362, 5 Seats,12995
Toyota,2018,1st Ownership,Automatic,Premium,4 cyl,67615, 5 Seats,32980
Peugeot,2017,1st Ownership,Automatic,Premium,3 cyl,41522, 5 Seats,18777
Audi,2018,1st Ownership,Automatic,Premium,4 cyl,38238, 5 Seats,35800
Kia,2018,1st Ownership,Automatic,Diesel,4 cyl,157465, 7 Seats,28950
BMW,2017,1st Ownership,Automatic,Premium,3 cyl,44286, 5 Seats,26800
Hyundai,2017,1st Ownership,Automatic,Diesel,4 cyl,116134, 5 Seats,28880
Nissan,2007,1st Ownership,Manual,Diesel,4 cyl,165374, 7 Seats,32950
Hyundai,2020,1st Ownership,Automatic,Unleaded,4 cyl,40178, 5 Seats,26300
